"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "SVG", "Markdown", "HTML", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\positions\apply\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 7, 12, 103
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\positions\apply\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 969, 0, 12, 76, 1057
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\positions\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 5, 48
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\positions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 3, 12
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 9, 43
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\robots.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 11
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\creators\[creatorId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 110, 0, 5, 14, 129
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\creators\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 1, 3, 37
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\creators\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 4, 3, 36
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\creators\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 1, 11, 83
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\players\[playerId]\PlayerProfile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 418, 0, 0, 24, 442
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\players\[playerId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 9, 40
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\players\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 3, 29
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\players\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 4, 3, 36
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\rosters\players\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 445, 0, 0, 35, 480
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\sitemap.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 10, 48
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\tournaments\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 12, 78
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\tournaments\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 35
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\tournaments\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 215, 0, 9, 24, 248
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\about\AboutClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 449, 0, 9, 34, 492
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\brand\BrandGuidelinesClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 332, 0, 6, 24, 362
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\club\ClubClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 466, 0, 0, 40, 506
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\contact\ContactClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 540, 0, 14, 20, 574
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\creator\CreatorApplication.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 938, 0, 19, 68, 1025
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\creator\CreatorProgram.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 547, 0, 21, 47, 615
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\ExclusiveClub.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 415, 0, 21, 39, 475
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\FeaturedContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 361, 0, 3, 30, 394
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\FeaturedSlice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 13, 73
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\FeaturedTournaments.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 139, 0, 7, 17, 163
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 37, 286
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\HomeNews.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 212, 0, 3, 10, 225
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\home\Stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 147, 0, 6, 24, 177
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\layout\Footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 165, 0, 8, 11, 184
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\layout\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 735, 0, 2, 54, 791
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\components\news\NewsArticle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 194, 0, 10, 12, 216
